index,level,title,href,full_url,doc_path,anchor,parent_title,root_title,path,is_leaf
53,3,公司动态,stock/stock.html#id48,https://akshare.akfamily.xyz/data/stock/stock.html#id48,stock/stock.html,id48,股市日历,AKShare 股票数据,AKShare 股票数据 / 股市日历 / 公司动态,1
54,2,风险警示板,stock/stock.html#id49,https://akshare.akfamily.xyz/data/stock/stock.html#id49,stock/stock.html,id49,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / 风险警示板,1
55,2,新股,stock/stock.html#id50,https://akshare.akfamily.xyz/data/stock/stock.html#id50,stock/stock.html,id50,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / 新股,1
56,2,新股上市首日,stock/stock.html#id51,https://akshare.akfamily.xyz/data/stock/stock.html#id51,stock/stock.html,id51,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / 新股上市首日,1
57,2,IPO 受益股,stock/stock.html#ipo,https://akshare.akfamily.xyz/data/stock/stock.html#ipo,stock/stock.html,ipo,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / IPO 受益股,1
58,2,两网及退市,stock/stock.html#id52,https://akshare.akfamily.xyz/data/stock/stock.html#id52,stock/stock.html,id52,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / 两网及退市,1
59,2,科创板,stock/stock.html#id53,https://akshare.akfamily.xyz/data/stock/stock.html#id53,stock/stock.html,id53,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / 科创板,0
60,3,实时行情数据,stock/stock.html#id54,https://akshare.akfamily.xyz/data/stock/stock.html#id54,stock/stock.html,id54,科创板,AKShare 股票数据,AKShare 股票数据 / 科创板 / 实时行情数据,1
61,3,历史行情数据,stock/stock.html#id55,https://akshare.akfamily.xyz/data/stock/stock.html#id55,stock/stock.html,id55,科创板,AKShare 股票数据,AKShare 股票数据 / 科创板 / 历史行情数据,1
62,3,科创板公告,stock/stock.html#id56,https://akshare.akfamily.xyz/data/stock/stock.html#id56,stock/stock.html,id56,科创板,AKShare 股票数据,AKShare 股票数据 / 科创板 / 科创板公告,1
63,2,A+H股,stock/stock.html#a-h,https://akshare.akfamily.xyz/data/stock/stock.html#a-h,stock/stock.html,a-h,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / A+H股,0
64,3,实时行情数据-东财,stock/stock.html#id57,https://akshare.akfamily.xyz/data/stock/stock.html#id57,stock/stock.html,id57,A+H股,AKShare 股票数据,AKShare 股票数据 / A+H股 / 实时行情数据-东财,1
65,3,实时行情数据-腾讯,stock/stock.html#id58,https://akshare.akfamily.xyz/data/stock/stock.html#id58,stock/stock.html,id58,A+H股,AKShare 股票数据,AKShare 股票数据 / A+H股 / 实时行情数据-腾讯,1
66,3,历史行情数据,stock/stock.html#id59,https://akshare.akfamily.xyz/data/stock/stock.html#id59,stock/stock.html,id59,A+H股,AKShare 股票数据,AKShare 股票数据 / A+H股 / 历史行情数据,1
67,3,A+H股票字典,stock/stock.html#id60,https://akshare.akfamily.xyz/data/stock/stock.html#id60,stock/stock.html,id60,A+H股,AKShare 股票数据,AKShare 股票数据 / A+H股 / A+H股票字典,1
68,2,美股,stock/stock.html#id61,https://akshare.akfamily.xyz/data/stock/stock.html#id61,stock/stock.html,id61,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / 美股,0
69,3,实时行情数据-东财,stock/stock.html#id62,https://akshare.akfamily.xyz/data/stock/stock.html#id62,stock/stock.html,id62,美股,AKShare 股票数据,AKShare 股票数据 / 美股 / 实时行情数据-东财,1
70,3,实时行情数据-新浪,stock/stock.html#id63,https://akshare.akfamily.xyz/data/stock/stock.html#id63,stock/stock.html,id63,美股,AKShare 股票数据,AKShare 股票数据 / 美股 / 实时行情数据-新浪,1
71,3,历史行情数据-东财,stock/stock.html#id64,https://akshare.akfamily.xyz/data/stock/stock.html#id64,stock/stock.html,id64,美股,AKShare 股票数据,AKShare 股票数据 / 美股 / 历史行情数据-东财,1
72,3,个股信息查询-雪球,stock/stock.html#id65,https://akshare.akfamily.xyz/data/stock/stock.html#id65,stock/stock.html,id65,美股,AKShare 股票数据,AKShare 股票数据 / 美股 / 个股信息查询-雪球,1
73,3,分时数据-东财,stock/stock.html#id66,https://akshare.akfamily.xyz/data/stock/stock.html#id66,stock/stock.html,id66,美股,AKShare 股票数据,AKShare 股票数据 / 美股 / 分时数据-东财,1
74,3,历史行情数据-新浪,stock/stock.html#id67,https://akshare.akfamily.xyz/data/stock/stock.html#id67,stock/stock.html,id67,美股,AKShare 股票数据,AKShare 股票数据 / 美股 / 历史行情数据-新浪,1
75,3,粉单市场,stock/stock.html#id68,https://akshare.akfamily.xyz/data/stock/stock.html#id68,stock/stock.html,id68,美股,AKShare 股票数据,AKShare 股票数据 / 美股 / 粉单市场,1
76,3,知名美股,stock/stock.html#id69,https://akshare.akfamily.xyz/data/stock/stock.html#id69,stock/stock.html,id69,美股,AKShare 股票数据,AKShare 股票数据 / 美股 / 知名美股,1
77,2,港股,stock/stock.html#id70,https://akshare.akfamily.xyz/data/stock/stock.html#id70,stock/stock.html,id70,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / 港股,0
78,3,实时行情数据-东财,stock/stock.html#id71,https://akshare.akfamily.xyz/data/stock/stock.html#id71,stock/stock.html,id71,港股,AKShare 股票数据,AKShare 股票数据 / 港股 / 实时行情数据-东财,1
79,3,港股主板实时行情数据-东财,stock/stock.html#id72,https://akshare.akfamily.xyz/data/stock/stock.html#id72,stock/stock.html,id72,港股,AKShare 股票数据,AKShare 股票数据 / 港股 / 港股主板实时行情数据-东财,1
80,3,实时行情数据-新浪,stock/stock.html#id73,https://akshare.akfamily.xyz/data/stock/stock.html#id73,stock/stock.html,id73,港股,AKShare 股票数据,AKShare 股票数据 / 港股 / 实时行情数据-新浪,1
81,3,个股信息查询-雪球,stock/stock.html#id74,https://akshare.akfamily.xyz/data/stock/stock.html#id74,stock/stock.html,id74,港股,AKShare 股票数据,AKShare 股票数据 / 港股 / 个股信息查询-雪球,1
82,3,分时数据-东财,stock/stock.html#id75,https://akshare.akfamily.xyz/data/stock/stock.html#id75,stock/stock.html,id75,港股,AKShare 股票数据,AKShare 股票数据 / 港股 / 分时数据-东财,1
83,3,历史行情数据-东财,stock/stock.html#id76,https://akshare.akfamily.xyz/data/stock/stock.html#id76,stock/stock.html,id76,港股,AKShare 股票数据,AKShare 股票数据 / 港股 / 历史行情数据-东财,1
84,3,历史行情数据-新浪,stock/stock.html#id77,https://akshare.akfamily.xyz/data/stock/stock.html#id77,stock/stock.html,id77,港股,AKShare 股票数据,AKShare 股票数据 / 港股 / 历史行情数据-新浪,1
85,3,知名港股,stock/stock.html#id78,https://akshare.akfamily.xyz/data/stock/stock.html#id78,stock/stock.html,id78,港股,AKShare 股票数据,AKShare 股票数据 / 港股 / 知名港股,1
86,3,证券资料,stock/stock.html#id79,https://akshare.akfamily.xyz/data/stock/stock.html#id79,stock/stock.html,id79,港股,AKShare 股票数据,AKShare 股票数据 / 港股 / 证券资料,1
87,3,公司资料,stock/stock.html#id80,https://akshare.akfamily.xyz/data/stock/stock.html#id80,stock/stock.html,id80,港股,AKShare 股票数据,AKShare 股票数据 / 港股 / 公司资料,1
88,3,财务指标,stock/stock.html#id81,https://akshare.akfamily.xyz/data/stock/stock.html#id81,stock/stock.html,id81,港股,AKShare 股票数据,AKShare 股票数据 / 港股 / 财务指标,1
89,3,分红派息,stock/stock.html#id82,https://akshare.akfamily.xyz/data/stock/stock.html#id82,stock/stock.html,id82,港股,AKShare 股票数据,AKShare 股票数据 / 港股 / 分红派息,1
90,3,行业对比,stock/stock.html#id83,https://akshare.akfamily.xyz/data/stock/stock.html#id83,stock/stock.html,id83,港股,AKShare 股票数据,AKShare 股票数据 / 港股 / 行业对比,0
91,4,成长性对比,stock/stock.html#id84,https://akshare.akfamily.xyz/data/stock/stock.html#id84,stock/stock.html,id84,行业对比,AKShare 股票数据,AKShare 股票数据 / 港股 / 行业对比 / 成长性对比,1
92,4,估值对比,stock/stock.html#id85,https://akshare.akfamily.xyz/data/stock/stock.html#id85,stock/stock.html,id85,行业对比,AKShare 股票数据,AKShare 股票数据 / 港股 / 行业对比 / 估值对比,1
93,4,规模对比,stock/stock.html#id86,https://akshare.akfamily.xyz/data/stock/stock.html#id86,stock/stock.html,id86,行业对比,AKShare 股票数据,AKShare 股票数据 / 港股 / 行业对比 / 规模对比,1
94,2,机构调研,stock/stock.html#id87,https://akshare.akfamily.xyz/data/stock/stock.html#id87,stock/stock.html,id87,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / 机构调研,0
95,3,机构调研-统计,stock/stock.html#id88,https://akshare.akfamily.xyz/data/stock/stock.html#id88,stock/stock.html,id88,机构调研,AKShare 股票数据,AKShare 股票数据 / 机构调研 / 机构调研-统计,1
96,3,机构调研-详细,stock/stock.html#id89,https://akshare.akfamily.xyz/data/stock/stock.html#id89,stock/stock.html,id89,机构调研,AKShare 股票数据,AKShare 股票数据 / 机构调研 / 机构调研-详细,1
97,2,主营介绍-同花顺,stock/stock.html#id90,https://akshare.akfamily.xyz/data/stock/stock.html#id90,stock/stock.html,id90,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / 主营介绍-同花顺,1
98,2,主营构成-东财,stock/stock.html#id91,https://akshare.akfamily.xyz/data/stock/stock.html#id91,stock/stock.html,id91,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / 主营构成-东财,1
99,2,股票质押,stock/stock.html#id92,https://akshare.akfamily.xyz/data/stock/stock.html#id92,stock/stock.html,id92,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / 股票质押,0
100,3,股权质押市场概况,stock/stock.html#id93,https://akshare.akfamily.xyz/data/stock/stock.html#id93,stock/stock.html,id93,股票质押,AKShare 股票数据,AKShare 股票数据 / 股票质押 / 股权质押市场概况,1
101,3,上市公司质押比例,stock/stock.html#id94,https://akshare.akfamily.xyz/data/stock/stock.html#id94,stock/stock.html,id94,股票质押,AKShare 股票数据,AKShare 股票数据 / 股票质押 / 上市公司质押比例,1
102,3,重要股东股权质押明细,stock/stock.html#id95,https://akshare.akfamily.xyz/data/stock/stock.html#id95,stock/stock.html,id95,股票质押,AKShare 股票数据,AKShare 股票数据 / 股票质押 / 重要股东股权质押明细,1
103,3,质押机构分布统计-证券公司,stock/stock.html#id96,https://akshare.akfamily.xyz/data/stock/stock.html#id96,stock/stock.html,id96,股票质押,AKShare 股票数据,AKShare 股票数据 / 股票质押 / 质押机构分布统计-证券公司,1
104,3,质押机构分布统计-银行,stock/stock.html#id97,https://akshare.akfamily.xyz/data/stock/stock.html#id97,stock/stock.html,id97,股票质押,AKShare 股票数据,AKShare 股票数据 / 股票质押 / 质押机构分布统计-银行,1
105,3,上市公司质押比例,stock/stock.html#id98,https://akshare.akfamily.xyz/data/stock/stock.html#id98,stock/stock.html,id98,股票质押,AKShare 股票数据,AKShare 股票数据 / 股票质押 / 上市公司质押比例,1
106,2,商誉专题,stock/stock.html#id99,https://akshare.akfamily.xyz/data/stock/stock.html#id99,stock/stock.html,id99,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / 商誉专题,0
107,3,A股商誉市场概况,stock/stock.html#id100,https://akshare.akfamily.xyz/data/stock/stock.html#id100,stock/stock.html,id100,商誉专题,AKShare 股票数据,AKShare 股票数据 / 商誉专题 / A股商誉市场概况,1
108,3,商誉减值预期明细,stock/stock.html#id101,https://akshare.akfamily.xyz/data/stock/stock.html#id101,stock/stock.html,id101,商誉专题,AKShare 股票数据,AKShare 股票数据 / 商誉专题 / 商誉减值预期明细,1
109,3,个股商誉减值明细,stock/stock.html#id102,https://akshare.akfamily.xyz/data/stock/stock.html#id102,stock/stock.html,id102,商誉专题,AKShare 股票数据,AKShare 股票数据 / 商誉专题 / 个股商誉减值明细,1
110,3,个股商誉明细,stock/stock.html#id103,https://akshare.akfamily.xyz/data/stock/stock.html#id103,stock/stock.html,id103,商誉专题,AKShare 股票数据,AKShare 股票数据 / 商誉专题 / 个股商誉明细,1
111,3,行业商誉,stock/stock.html#id104,https://akshare.akfamily.xyz/data/stock/stock.html#id104,stock/stock.html,id104,商誉专题,AKShare 股票数据,AKShare 股票数据 / 商誉专题 / 行业商誉,1
112,2,股票账户统计,stock/stock.html#id105,https://akshare.akfamily.xyz/data/stock/stock.html#id105,stock/stock.html,id105,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / 股票账户统计,0
113,3,股票账户统计月度,stock/stock.html#id106,https://akshare.akfamily.xyz/data/stock/stock.html#id106,stock/stock.html,id106,股票账户统计,AKShare 股票数据,AKShare 股票数据 / 股票账户统计 / 股票账户统计月度,1
114,2,分析师指数,stock/stock.html#id107,https://akshare.akfamily.xyz/data/stock/stock.html#id107,stock/stock.html,id107,AKShare 股票数据,AKShare 股票数据,AKShare 股票数据 / 分析师指数,0
115,3,分析师指数排行,stock/stock.html#id108,https://akshare.akfamily.xyz/data/stock/stock.html#id108,stock/stock.html,id108,分析师指数,AKShare 股票数据,AKShare 股票数据 / 分析师指数 / 分析师指数排行,1
